Time,OS,OS.Diff,,,465,,0.001931509,0.002150538
3.496764035,0.995848628,0.005533637,2,,,,,
4.817147408,0.990314992,0.001931509,0,,,,,
5.74948966,0.988383482,0.003698245,1,,,,,
6.681557291,0.984685237,0.008929797,3,,,,,
7.22421069,0.97575544,0.010723996,4,,,,,
7.922025613,0.965031444,0.007204255,2,,,,,
8.698107853,0.957827189,0.005478712,2,,,,,
9.707618934,0.952348477,0.005423788,2,,,,,
10.40625772,0.946924689,0.010723996,4,,,,,
11.10407265,0.936200694,0.005437519,2,,,,,
11.88042951,0.930763175,0.008943529,3,,,,,
12.50080098,0.921819646,0.010696533,4,29,424,,,
13.04317976,0.911123113,0.015996741,6,,,,,
13.58473467,0.895126372,0.017873326,7,,,,,
14.74775954,0.877253046,0.014230005,6,,,,,
15.28958907,0.863023041,0.012504463,5,,,,,
16.06484745,0.850518578,0.005410057,2,,,,,
16.68576816,0.845108522,0.010710264,4,,,,,
17.30586501,0.834398257,0.010710264,4,,,,,
17.92596186,0.823687993,0.021393067,9,,,,,
19.01071942,0.802294926,0.012449538,5,,,,,
19.4751055,0.789845388,0.012477,5,,,,,
20.09492773,0.777368387,0.005437519,2,,,,,
20.87128459,0.771930868,0.010737727,4,,,,,
21.64681759,0.761193142,0.010696533,4,,,,,
22.18919636,0.750496608,0.008943529,3,,,,,
22.80956784,0.74155308,0.010710264,4,,,,,
23.42966469,0.730842815,0.008970991,3,,,,,
24.2054723,0.721871825,0.014202543,6,108,328,,,
24.59186569,0.707669282,0.014243736,6,,,,,
25.2114133,0.693425545,0.010682802,4,,,,,
25.676074,0.682742743,0.00895726,3,,,,,
26.37416355,0.673785483,0.008970991,3,,,,,
27.14997116,0.664814493,0.005382594,2,,,,,
27.61545574,0.659431898,0.00727291,2,,,,,
28.78012834,0.652158988,0.014271199,6,,,,,
29.55511209,0.637887789,0.00895726,3,,,,,
30.25320164,0.62893053,0.008970991,3,,,,,
31.02900925,0.619959539,0.008970991,3,,,,,
31.80481687,0.610988548,0.01065534,4,,,,,
32.11404143,0.600333208,0.007286641,2,,,,,
33.35643211,0.593046567,0.008861142,3,,,,,
33.51049514,0.584185425,0.017818402,7,,,,,
34.36264772,0.566367023,0.012545656,5,,,,,
35.37106032,0.553821367,0.005616023,2,166,254,,,
37.15775213,0.548205344,0.016037934,6,,,,,
37.93246126,0.53216741,0.012531925,5,,,,,
38.86315577,0.519635485,0.014298661,6,,,,,
39.79357567,0.505336824,0.007369028,2,,,,,
41.50227479,0.497967796,0.017763477,7,,,,,
42.04355508,0.480204319,0.010696533,4,,,,,
42.58593385,0.469507786,0.008902335,3,,,,,
42.97315111,0.46060545,0.014353585,6,,,,,
44.2144433,0.446251865,0.014422241,6,,,,,
45.84432585,0.431829624,0.010696533,4,,,,,
46.38670463,0.421133091,0.014243736,6,,,,,
47.00625223,0.406889355,0.007190524,2,,,,,
47.7046164,0.399698831,0.012490732,5,,,,,
48.4021567,0.3872081,0.007410221,2,230,176,,,
50.34401003,0.379797878,0.007382759,2,,,,,
52.13042722,0.372415119,0.016161514,7,,,,,
53.60459901,0.356253604,0.019543944,8,,,,,
54.22332275,0.33670966,0.011135929,4,,,,,
57.25267985,0.325573731,0.007286641,2,,,,,
58.49507053,0.31828709,0.012751623,5,,,,,
60.66925422,0.305535467,,,,,,,
,,,,,,,,
,,0.001931509,,,,,,
