Study omited,Wild Type (Random),Mutated (Random),Interaction terms (Random),Wild Type (Fixed),Mutated (Fixed),Interaction terms (Fixed)
Chen,0.72,0.92,1.26,0.68,0.86,1.25
De Santibanes,0.65,0.81,1.27,0.67,0.85,1.25
French,0.66,0.83,1.3,0.66,0.83,1.26
Gagniere,0.66,0.83,1.29,0.66,0.8,1.25
Margonis,0.68,0.8,1.19,0.67,0.77,1.12
Yamashita,0.72,0.97,1.4,0.74,1.04,1.41
Overall pooled estimate,0.72,0.97,1.4,0.74,1.04,1.41
