0,1,,,38,,
7.980295567,0.97284345,0.02715655,,1,,38
10.93596059,0.947284345,0.025559105,,2,2,36
13.99014778,0.920127796,0.02715655,,3,3,35
14.97536946,0.892971246,0.02715655,,4,4,34
16.84729064,0.835463259,0.057507987,,5,5,33
17.93103448,0.808306709,0.02715655,,6,6,32
20,0.776357827,0.031948882,,7,7,31
21.97044335,0.74600639,0.030351438,,8,8,30
23.9408867,0.680511182,0.065495208,1,9,10,28
26.99507389,0.615015974,0.065495208,1,10,12,26
32.01970443,0.576677316,0.038338658,,11,13,25
43.05418719,0.531948882,0.044728435,1,12,15,23
60,0.531948882,0,,,,
