0,1,,,,,,,
9.950738916,1,,,,,29,,
9.950738916,0.96485623,0.03514377,,1,1,28,,
10.93596059,0.931309904,0.033546326,1,2,3,26,,
16.0591133,0.853035144,0.07827476,1,3,5,24,,
18.02955665,0.776357827,0.076677316,,4,6,23,,
20.98522167,0.734824281,0.041533546,,5,7,22,,
21.97044335,0.691693291,0.04313099,1,6,9,20,,","
22.95566502,0.60543131,0.086261981,,7,10,19,,
25.02463054,0.562300319,0.04313099,1,8,12,17,,
26.00985222,0.511182109,0.051118211,1,9,14,15,,
34.97536946,0.439297125,0.071884984,,10,15,14,,
59.90147783,0.439297125,0,,11,16,13,,
,,0.439297125,,,,,,
